"gene","rho","p","padj"
"ACTR10",-0.0604354314016566,0.811714193149572,0.886315018500158
"ACTR1A",0.384878273663182,0.114763914732844,0.26040206719734
"ACTR1B",-0.149498172414624,0.553800044977954,0.707740467379986
"ACTR2",0.604354314016566,0.00789473085313485,0.0464799934937087
"ACTR3",0.655247308881119,0.00316002087286121,0.0274704313406248
"ACTR3B",-0.473941014676149,0.0469279981708853,0.143269480481984
"ACTR3C",0.00318081217903456,0.990005838297366,0.9918064855049
"ACTR5",0.464398578139046,0.0521898885443222,0.153428213483375
"ACTR6",-0.0636162435806912,0.801985917292481,0.879810719446341
"ACTR8",-0.0890627410129677,0.725263057271196,0.83234408858841
"ACVR1",0.0381697461484147,0.880473872651068,0.930695475281093
"ACVR1B",0.50256832428746,0.0335353188992631,0.114138660908597
"ACVR1C",0.117690050624279,0.641865467758828,0.771787663585581
"ACVR2A",-0.18130629420497,0.471527767978293,0.640932554924703
"ACVR2B",-0.620258374911739,0.00602871527238676,0.0394923670750439
"ACVRL1",-0.14631736023559,0.562360757543834,0.712937245785863
"ACY1",-0.276730659576007,0.266281116010187,0.448643746228736
"ACY3",0.607535126195601,0.00748847935709083,0.0451060319476774
"ACYP1",-0.0763394922968294,0.763362171846459,0.85585822150534
"ACYP2",-0.617077562732705,0.00636991665848191,0.0407185936238033
"AD000090.1",-0.238560913427592,0.340423472051444,0.524495495517334
"ADA",0.6902362428505,0.00152164992750264,0.0181109222163566
"ADA2",0.10496680190814,0.678498032523199,0.799877377342599
"ADAL",-0.757033298610225,0.000275448700837608,0.00716781140276765
"ADAM10",0.333985278798629,0.175566555832454,0.346123407794962
"ADAM11",-0.308538781366352,0.21287043106092,0.390436386782626
"ADAM12",-0.209933603816281,0.403094473684067,0.582068185164679
"ADAM15",-0.0763394922968294,0.763362171846459,0.85585822150534
"ADAM17",0.658428121060154,0.00296804359653512,0.0266063908117971
"ADAM19",0.617077562732705,0.00636991665848191,0.0407185936238033
"ADAM22",-0.667970557597258,0.0024487113917738,0.0237784026383363
"ADAM23",0.178125482025935,0.479470083460463,0.647511563368353
"ADAM28",0.489845075571322,0.0390647863739189,0.126405947945241
"ADAM32",-0.292634720471179,0.238624888514663,0.41921617031605
"ADAM33",-0.203571979458212,0.417816571568208,0.594623182202397
"ADAM8",0.566184567868152,0.0143062223119229,0.0667007012045897
"ADAM9",0.480302639034218,0.04365053292155,0.136543053683769
"ADAMDEC1",0.550280506972979,0.0179699311058889,0.0763991775082914
"ADAMTS1",0.50892994864553,0.0310075924320169,0.108439074133063
"ADAMTS10",-0.203571979458212,0.417816571568208,0.594623182202397
"ADAMTS12",-0.209933603816281,0.403094473684067,0.582068185164679
"ADAMTS13",-0.722044364640845,0.00071553319472087,0.0118532228221555
"ADAMTS14",0.219476040353385,0.381547140675057,0.562756490065881
"ADAMTS15",0.419867207632562,0.0827975391290768,0.209626200637189
"ADAMTS16",-0.343527715335732,0.162792364365824,0.329254364852093
"ADAMTS17",0.00954243653710368,0.970023176523772,0.981957809234729
"ADAMTS19",-0.368974212768009,0.131862150497344,0.285665309976164
"ADAMTS19-AS1",-0.423048019811596,0.0802551310356553,0.205127480446766
"ADAMTS2",-0.241741725606627,0.333829175779601,0.518403847328194
"ADAMTS20",-0.772937359505398,0.000169270790503496,0.00568893305914208
"ADAMTS3",-0.229018476890488,0.360653398215665,0.543460463045705
"ADAMTS4",0.400782334558354,0.0993015892550991,0.23629559742462
"ADAMTS5",0.194029542921108,0.440425422337527,0.613544730892991
"ADAMTS6",0.410324771095458,0.0907777271361468,0.222886521964172
"ADAMTS7",0.0159040608951728,0.950057491398571,0.970666219957866
"ADAMTS8",-0.772937359505398,0.000169270790503496,0.00568893305914208
